constellation,num_pairs,stars,name,ra,dec,zodiac,mags
Crv,6,"['61174', '60965', '60965', '59803', '59803', '59316', '59316', '59199', '59316', '61359', '61359', '60965']",Corvus,"[12.53451, 12.497739, 12.497739, 12.263437, 12.263437, 12.168746, 12.168746, 12.140225, 12.168746, 12.573121, 12.573121, 12.497739]","[-16.196007, -16.515432, -16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -22.619766, -23.396759, -23.396759, -16.515432]",False,"[4.3, 2.94, 2.94, 2.58, 2.58, 3.02, 3.02, 4.02, 3.02, 2.65, 2.65, 2.94]"
Cyg,9,"['94779', '95853', '95853', '97165', '97165', '100453', '100453', '102098', '100453', '102488', '102488', '104732', '104732', '107310', '100453', '98110', '98110', '95947']",Cygnus,"[19.28504, 19.495098, 19.495098, 19.749574, 19.749574, 20.370473, 20.370473, 20.690532, 20.370473, 20.770178, 20.770178, 21.215607, 21.215607, 21.73571, 20.370473, 19.938438, 19.938438, 19.512023000000006]","[53.368459, 51.729779, 51.729779, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 28.742632, 40.256679, 35.083424, 35.083424, 27.959681]",False,"[3.8, 3.76, 3.76, 2.86, 2.86, 2.23, 2.23, 1.25, 2.23, 2.48, 2.48, 3.21, 3.21, 4.49, 2.23, 3.89, 3.89, 3.05]"
Del,5,"['101421', '101769', '101769', '101958', '101958', '102532', '102532', '102281', '102281', '101769']",Delphinus,"[20.553547, 20.625816, 20.625816, 20.660635, 20.660635, 20.77764, 20.77764, 20.724315, 20.724315, 20.625816]","[11.303263, 14.595087, 14.595087, 15.912072, 15.912072, 16.124295999999998, 16.124295999999998, 15.074581, 15.074581, 14.595087]",False,"[4.03, 3.64, 3.64, 3.77, 3.77, 4.27, 4.27, 4.43, 4.43, 3.64]"
Dra,15,"['87585', '87833', '87833', '85670', '85670', '85829', '85829', '87585', '87585', '94376', '94376', '97433', '97433', '94648', '94648', '89937', '89937', '83895', '83895', '80331', '80331', '78527', '78527', '75458', '75458', '68756', '68756', '61281', '61281', '56211']",Draco,"[17.892134, 17.943437, 17.943437, 17.507213, 17.507213, 17.537767000000002, 17.537767000000002, 17.892134, 17.892134, 19.209225, 19.209225, 19.80285, 19.80285, 19.259229, 19.259229, 18.350736, 18.350736, 17.146448, 17.146448, 16.39986, 16.39986, 16.031532000000002, 16.031532000000002, 15.415494, 15.415494, 14.073165, 14.073165, 12.558058, 12.558058, 11.523407]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]",False,"[3.73, 2.24, 2.24, 2.79, 2.79, 4.86, 4.86, 3.73, 3.73, 3.07, 3.07, 3.84, 3.84, 4.45, 4.45, 3.55, 3.55, 3.17, 3.17, 2.73, 2.73, 4.01, 4.01, 3.29, 3.29, 3.67, 3.67, 3.85, 3.85, 3.82]"
Eri,27,"['7588', '9007', '9007', '10602', '10602', '11407', '11407', '12413', '12413', '12486', '12486', '13847', '13847', '15510', '15510', '17797', '17797', '17874', '17874', '20042', '20042', '20535', '20535', '21393', '21393', '17651', '17651', '16611', '16611', '15474', '15474', '14146', '14146', '12843', '12843', '13701', '13701', '15197', '15197', '16537', '16537', '17378', '17378', '21444', '21444', '22109', '22109', '22701', '22701', '23875', '23875', '23972', '23972', '21594']",Eridanus,"[1.628556, 1.932564, 1.932564, 2.275154, 2.275154, 2.449755, 2.449755, 2.663326, 2.663326, 2.677781, 2.677781, 2.971023, 2.971023, 3.331944, 3.331944, 3.809963, 3.809963, 3.824237, 3.824237, 4.298237, 4.298237, 4.400613, 4.400613, 4.592512, 4.592512, 3.780804, 3.780804, 3.563132, 3.563132, 3.325278, 3.325278, 3.039863, 3.039863, 2.7517150000000004, 2.7517150000000004, 2.940458, 2.940458, 3.263896, 3.263896, 3.5488480000000004, 3.5488480000000004, 3.720806, 3.720806, 4.6053169999999986, 4.6053169999999986, 4.758375, 4.758375, 4.881575, 4.881575, 5.130829, 5.130829, 5.15244, 5.15244, 4.6363400000000015]","[-57.236757, -51.608896, -51.608896, -51.512165, -51.512165, -47.70384, -47.70384, -42.89167, -42.89167, -39.855375, -39.855375, -40.304672, -40.304672, -43.06978400000001, -43.06978400000001, -37.620155, -37.620155, -36.20025, -36.20025, -33.798348, -33.798348, -34.016846, -34.016846, -30.562341, -30.562341, -23.249723, -23.249723, -21.632883, -21.632883, -21.757864, -21.757864, -23.624472, -23.624472, -18.572563, -18.572563, -8.898144, -8.898144, -8.81973, -8.81973, -9.458262, -9.458262, -9.763395, -9.763395, -3.352459, -3.352459, -3.254657, -3.254657, -5.4526949999999985, -5.4526949999999985, -5.086446, -5.086446, -8.754081, -8.754081, -14.30402]",False,"[0.45, 3.69, 3.69, 3.56, 3.56, 4.24, 4.24, 4.74, 4.74, 4.11, 4.11, 2.88, 2.88, 4.26, 4.26, 4.3, 4.3, 4.17, 4.17, 3.55, 3.55, 3.97, 3.97, 3.81, 3.81, 4.22, 4.22, 4.26, 4.26, 3.7, 3.7, 4.08, 4.08, 4.47, 4.47, 3.89, 3.89, 4.8, 4.8, 3.72, 3.72, 3.52, 3.52, 3.93, 3.93, 4.01, 4.01, 4.36, 4.36, 2.78, 2.78, 4.25, 4.25, 3.86]"
Sge,4,"['96837', '97365', '97365', '96757', '97365', '98337', '98337', '98920']",Sagitta,"[19.68415, 19.789795, 19.789795, 19.668275, 19.789795, 19.979285, 19.979285, 20.08597]","[17.476041, 18.534286, 18.534286, 18.01389, 18.534286, 19.492148, 19.492148, 19.991071]",False,"[4.39, 3.68, 3.68, 4.39, 3.68, 3.51, 3.51, 5.09]"
For,1,"['13147', '14879']",Fornax,"[2.818169, 3.201249]","[-32.405898, -28.987618]",False,"[4.45, 3.8]"
Gem,16,"['31681', '34088', '34088', '35550', '35550', '35350', '35350', '32362', '35550', '36962', '36962', '37740', '36962', '37826', '36962', '36046', '36046', '34693', '34693', '36850', '34693', '33018', '34693', '32246', '32246', '30883', '32246', '30343', '30343', '29655', '29655', '28734']",Gemini,"[6.628528, 7.0684809999999985, 7.0684809999999985, 7.335383, 7.335383, 7.30155, 7.30155, 6.754824, 7.335383, 7.598708, 7.598708, 7.740792999999999, 7.598708, 7.755277, 7.598708, 7.428779, 7.428779, 7.1856589999999985, 7.1856589999999985, 7.5766339999999985, 7.1856589999999985, 6.879816, 7.1856589999999985, 6.732202, 6.732202, 6.482719, 6.732202, 6.3826730000000005, 6.3826730000000005, 6.247961, 6.247961, 6.068671]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]",True,"[1.93, 4.01, 4.01, 3.5, 3.5, 3.58, 3.58, 3.35, 3.5, 4.06, 4.06, 3.57, 4.06, 1.16, 4.06, 3.78, 3.78, 4.41, 4.41, 1.58, 4.41, 3.6, 4.41, 3.06, 3.06, 4.13, 3.06, 2.87, 2.87, 3.31, 3.31, 4.16]"
Cam,5,"['16228', '18505', '18505', '22783', '16228', '17959', '17959', '22783', '17959', '25110']",Camelopardalis,"[3.484482, 3.957067, 3.957067, 4.900836, 3.484482, 3.839302, 3.839302, 4.900836, 3.839302, 5.376036]","[59.94033, 63.072264, 63.072264, 66.342678, 59.94033, 71.332266, 71.332266, 66.342678, 71.332266, 79.231149]",False,"[4.21, 4.95, 4.95, 4.26, 4.21, 4.59, 4.59, 4.26, 4.59, 5.08]"
CMa,17,"['33160', '34045', '34045', '33347', '33347', '32349', '32349', '33977', '33977', '34444', '34444', '35037', '35037', '35904', '33579', '33856', '33856', '34444', '33856', '33165', '33165', '31592', '31592', '31416', '31592', '30324', '31592', '32349', '33579', '32759', '30122', '33579', '33347', '33160']",Canis Major,"[6.903167, 7.062637, 7.062637, 6.935617999999999, 6.935617999999999, 6.752481, 6.752481, 7.050408999999998, 7.050408999999998, 7.139857000000001, 7.139857000000001, 7.246849, 7.246849, 7.401584, 6.9770970000000005, 7.028652, 7.028652, 7.139857000000001, 7.028652, 6.903623, 6.903623, 6.6113990000000005, 6.6113990000000005, 6.5842740000000015, 6.6113990000000005, 6.378329, 6.6113990000000005, 6.752481, 6.9770970000000005, 6.8306830000000005, 6.338553, 6.9770970000000005, 6.935617999999999, 6.903167]","[-12.038628, -15.633285999999998, -15.633285999999998, -17.054242000000002, -17.054242000000002, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -26.772667, -26.772667, -29.303104, -28.972084, -27.93483, -27.93483, -26.3932, -27.93483, -23.928336, -23.928336, -19.255879, -19.255879, -22.964793, -19.255879, -17.955918, -19.255879, -16.716116, -28.972084, -32.508478000000004, -30.063367, -28.972084, -17.054242000000002, -12.038628]",False,"[4.08, 4.11, 4.11, 4.36, 4.36, -1.44, -1.44, 3.02, 3.02, 1.83, 1.83, 4.01, 4.01, 2.45, 1.5, 3.49, 3.49, 1.83, 3.49, 6.65, 6.65, 3.95, 3.95, 4.54, 3.95, 1.98, 3.95, -1.44, 1.5, 3.5, 3.02, 1.5, 4.36, 4.08]"
